Match Date,Season,City,Team 1,Team 2,Toss Winner,Toss Decision,Dl applied,Result,Winner,Won by Runs,Won by Wickets,Player of the Match,Venue,Umpire 1,Umpire 2,Match Id
2011-05-09,2011,Jaipur,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,0,normal,Chennai Super Kings,63,0,M Vijay,Sawai Mansingh Stadium,K Hariharan,SJA Taufel,2011-05-09_Rajasthan Royals_Chennai Super Kings
2011-05-08,2011,Bangalore,Royal Challengers Bangalore,Kochi Tuskers Kerala,Kochi Tuskers Kerala,bat,0,normal,Royal Challengers Bangalore,0,9,CH Gayle,M Chinnaswamy Stadium,Aleem Dar,SS Hazare,2011-05-08_Royal Challengers Bangalore_Kochi Tuskers Kerala
2011-05-08,2011,Chandigarh,Kings XI Punjab,Pune Warriors,Kings XI Punjab,bat,0,normal,Pune Warriors,0,5,R Sharma,"Punjab Cricket Association Stadium, Mohali",SK Tarapore,RJ Tucker,2011-05-08_Kings XI Punjab_Pune Warriors
2011-05-07,2011,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,1,normal,Kolkata Knight Riders,10,0,Iqbal Abdulla,Eden Gardens,Asad Rauf,PR Reiffel,2011-05-07_Kolkata Knight Riders_Chennai Super Kings
2011-05-07,2011,Mumbai,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,0,normal,Mumbai Indians,32,0,AT Rayudu,Wankhede Stadium,K Hariharan,SJA Taufel,2011-05-07_Mumbai Indians_Delhi Daredevils
2011-05-06,2011,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,0,normal,Royal Challengers Bangalore,85,0,CH Gayle,M Chinnaswamy Stadium,Aleem Dar,RB Tiffin,2011-05-06_Royal Challengers Bangalore_Kings XI Punjab
2011-05-05,2011,Kochi,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,0,normal,Kochi Tuskers Kerala,17,0,BJ Hodge,Nehru Stadium,S Ravi,RJ Tucker,2011-05-05_Kochi Tuskers Kerala_Kolkata Knight Riders
2011-05-05,2011,Hyderabad,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,0,normal,Delhi Daredevils,0,4,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,AM Saheba,2011-05-05_Deccan Chargers_Delhi Daredevils
2011-05-04,2011,Chennai,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,0,normal,Chennai Super Kings,0,8,MEK Hussey,"MA Chidambaram Stadium, Chepauk",SS Hazare,RB Tiffin,2011-05-04_Chennai Super Kings_Rajasthan Royals
2011-05-04,2011,Mumbai,Pune Warriors,Mumbai Indians,Pune Warriors,field,0,normal,Mumbai Indians,21,0,R Sharma,Dr DY Patil Sports Academy,HDPK Dharmasena,SJA Taufel,2011-05-04_Pune Warriors_Mumbai Indians
2011-05-03,2011,Hyderabad,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,field,0,normal,Kolkata Knight Riders,20,0,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",S Asnani,RJ Tucker,2011-05-03_Deccan Chargers_Kolkata Knight Riders
2011-05-02,2011,Mumbai,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,0,normal,Mumbai Indians,23,0,KA Pollard,Wankhede Stadium,HDPK Dharmasena,PR Reiffel,2011-05-02_Mumbai Indians_Kings XI Punjab
2011-05-02,2011,Delhi,Delhi Daredevils,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,0,normal,Kochi Tuskers Kerala,0,7,P Parameswaran,Feroz Shah Kotla,Asad Rauf,SL Shastri,2011-05-02_Delhi Daredevils_Kochi Tuskers Kerala
2011-05-01,2011,Jaipur,Rajasthan Royals,Pune Warriors,Rajasthan Royals,field,0,normal,Rajasthan Royals,0,6,LRPL Taylor,Sawai Mansingh Stadium,SK Tarapore,SJA Taufel,2011-05-01_Rajasthan Royals_Pune Warriors
